PERMIT_NUM,STRUCTURE_TYPE,ADDRESS,City,Country,APPLICATION_DATE,ISSUED_DATE,COMPLETED_DATE,STATUS,DESCRIPTION,CURRENT_USE,PROPOSED_USE,DWELLING_UNITS_CREATED,DWELLING_UNITS_LOST,EST_CONST_COST,ASSEMBLY,RESIDENTIAL
15 219899 BLD,SFD - Detached,"19 COUNTRY LANE   Toronto, Ontario, Canada",Toronto,Canada,2015-09-09,2015-10-06,2017-12-06,Closed,Demolish existing one storey bungalow and construct new 2 storey sfd along with a 1 storey accessory building,Sfd,Sfd,1,0,"3,500,000",0,942.13
17 254391 BLD,SFD - Detached,"9 OXBOW RD   Toronto, Ontario, Canada",Toronto,Canada,2017-10-27,2018-03-16,2018-09-26,Cancelled,"Construct a new two storey SFD-Detached (1482.37m2),with attached 4 car garage and  finished basement (732.61m2)",Sfd-Detached,Sfd-Detached,1,0,"3,331,045",0,1482.37
07 245042 BLD,SFD - Detached,"46 GLENAYR RD   Toronto, Ontario, Canada",Toronto,Canada,2007-07-19,2007-08-03,2014-11-17,Closed,Demolish existing 2 storey SFD and build new 2 storey SFD. See C of A and Final & Binding.,Sfd,Sfd,0,0,"3,000,000",0,535
12 203434 BLD,Apartment Building,"160-162 KENWOOD AVE   Toronto, Ontario, Canada",Toronto,Canada,2012-06-29,2014-03-11,2015-07-24,Closed,Proposal to construct new three-storey apartment building with 9 residential units (785m2) which will be fully sprinklered and contain a green roof (110m2).  Project also includes interior alterations to rear detached garage (50m2).  See Site Plan Approval 11-331819.,Vacant,Apartment Building - 9 Units,1,0,"3,000,000",0,785
14 244858 BLD,Apartment Building,"1548 KINGSTON RD   Toronto, Ontario, Canada",Toronto,Canada,2014-10-29,,2015-03-30,Cancelled,New residential complex containing 22 dwelling units with underground parking garage,Vacant,Residential Apt,22,0,"3,000,000",0,1817
14 120159 BLD,SFD - Detached,"34 BURTON RD   Toronto, Ontario, Canada",Toronto,Canada,2014-02-21,2014-05-06,2017-09-11,Closed,"Proposal to demolish the dwelling located at 34 Burton Road and replace with a new 2.5 storey single family residence with finished basement and attached garage on the combined lots.
See also 14 120167 DM (32 Burton Road)",Vacant,New Sfd,1,0,"3,000,000",0,813
14 268243 BLD,Townhouses,"250 ROYAL YORK RD   Toronto, Ontario, Canada",Toronto,Canada,2014-12-29,2016-08-30,2017-12-11,Closed,Proposal to construct 33 units stacked townhouse block with 3 storey above and 1 storey below grade (Block 3).,Vacant,Stacked Townhouse,33,0,"3,000,000",0,2902.11
14 268764 BLD,Apartment Building,"441 JANE ST   Toronto, Ontario, Canada",Toronto,Canada,2014-12-31,2016-09-01,2017-09-08,Closed,Proposal to construct of 23 stacked townhouses in a 3-storey building with 1 level of underground parking garage.,Vacant,Residential Condominium (23 Stacked Townhome Units),23,0,"3,000,000",0,2400
12 272068 BLD,Townhouses,"120 TWENTY FOURTH ST   Toronto, Ontario, Canada",Toronto,Canada,2012-11-01,2013-04-22,2014-09-17,Closed,Proposal to construct 32 units stacked townhouse block with 3 storey above and 1 storey below grade (Block 6).,Vacant,Stacked Townhouse Block,24,0,"2,800,000",0,2700.48
13 111505 BLD,Townhouses,"120 TWENTY FOURTH ST   Toronto, Ontario, Canada",Toronto,Canada,2013-01-25,2013-04-22,2014-09-24,Closed,Proposal to construct 20 units stacked townhouse block with 3 storey above and 1 storey below grade (Block 7).,Vacant,Stacked Townhouse Block,20,0,"2,800,000",0,1997.78
16 148897 BLD,SFD - Detached,"41 WINTER AVE   Toronto, Ontario, Canada",Toronto,Canada,2016-05-02,,2018-04-23,Cancelled,Proposed demolition of existing SFD to be replaced by new 2 storey SFD with finished basement and integrated garage.,Sfd,Sfd,1,0,"2,800,000",0,292.45
17 227669 BLD,SFD - Detached,"178 CAMERON AVE   Toronto, Ontario, Canada",Toronto,Canada,2017-09-05,2017-10-04,2018-09-12,Closed,"Proposal to construct a new 2 storey single family dwelling and demolish the existing 1 storey single family dwelling
",Sfd Detached,Sfd Detached,1,0,"2,700,000",0,328.93
06 197919 BLD,SFD - Detached,"10 HIGH POINT RD   Toronto, Ontario, Canada",Toronto,Canada,2006-12-14,2007-01-11,2016-09-19,Closed,"2 storey detached house with 4 car integral garage.
This is a Part 3 building - JL",Vacant Land,Sfd,1,0,"2,500,000",0,2339.39
12 295020 BLD,SFD - Detached,"303 LAKE PROMENADE     Toronto, Ontario, Canada",Toronto,Canada,2012-12-17,2013-05-16,2016-05-31,Closed,Construct new (2) storey dwelling with attached garage.,Single Family Detached,Single Family Detached,1,0,"2,500,000",0,638.36
04 203160 BLD,Townhouses,"456 SHAW ST   Toronto, Ontario, Canada",Toronto,Canada,2004-12-23,2015-01-23,2017-02-06,Closed,"Construct 13 new freehold townhouse with common element garage.
REVISED PLANS RECEIVED -27MAY2008, 13NOV2008, 18MAY2012, 03OCT2012, 16JAN2015.
NOTE ; These are paper, not eplan.",,,13,0,"2,500,000",0,2178
15 198996 BLD,SFD - Detached,"395 GLENGROVE AVE   Toronto, Ontario, Canada",Toronto,Canada,2015-07-29,2015-09-04,2018-02-22,Closed,"Demo two existing sfd-detached, Construct (1) two storey sfd-detached (954m2) w/ finished basement (327m2)
Two lots are combining to one. ",Sfd-Detached,Sfd-Detached,1,0,"2,500,000",0,954
12 272060 BLD,Townhouses,"120 TWENTY FOURTH ST   Toronto, Ontario, Canada",Toronto,Canada,2012-11-01,2013-04-22,2014-07-31,Closed,Proposal to construct 20 units stacked townhouse block with 3 storey above and 1 storey below grade (Block 2).,Vacant,Stacked Townhouse Block,20,0,"2,400,000",0,2148.72
12 272065 BLD,Townhouses,"120 TWENTY FOURTH ST   Toronto, Ontario, Canada",Toronto,Canada,2012-11-01,2013-04-22,2014-07-31,Closed,Proposal to construct 20 units stacked townhouse block with 3 storey above and 1 storey below grade (Block 4).,Vacant,Stacked Townhouse Block,20,0,"2,400,000",0,2148.72
04 149068 BLD,Townhouses,"75 LEMONWOOD DR   Toronto, Ontario, Canada",Toronto,Canada,2004-06-21,2004-09-30,2015-07-28,Closed,Construct twenty four Rental Townhouse Units - Block *F*,,,24,0,"2,400,000",0,2413.68
00 342345 CMB,Townhouses,"1   IBMS NORTH YORK     Toronto, Ontario, Canada",Toronto,Canada,2000-10-02,2001-06-27,2014-04-14,Closed,"SUPERSTRUCTURE PERMIT FOR TOWNHOUSE BUILDING
REFER TO BUILDING PERMIT 342341 FOR PERMIT FEES and dev. charges
(ALSO SEE 342343, 342348, 342349) FDN 343335
Partial Occupancy granted under folder 02 153264 - units 301 to 370",,,36,0,"2,312,100",0,3303
00 342343 CMB,Townhouses,"1   IBMS NORTH YORK     Toronto, Ontario, Canada",Toronto,Canada,2000-10-02,2001-06-27,2014-04-14,Closed,"SUPERSTRUCTURE PERMIT FOR TOWNHOUSE BUILDING
REFER TO BUILDING PERMIT 342341 FOR PERMIT FEES and dev. charges
(also see 342345, 342348, 342349) FDN 342335",,,38,0,"2,285,500",0,3265
03 109164 BLD,Townhouses,"2619 WARDEN AVE   Toronto, Ontario, Canada",Toronto,Canada,2003-02-18,2004-04-15,2017-10-18,Closed,CONSTRUCTION OF 16 CONDOMINIUM TOWNHOMES,,,16,0,"2,200,000",0,2416
15 185444 BLD,Apartment Building,"2059 WESTON RD   Toronto, Ontario, Canada",Toronto,Canada,2015-07-06,2017-01-23,2017-07-06,Closed,"Permit to construct new 3-Storey Residential Townhouse ""Block A"" with 16 dwelling units & 2 balconies per unit plus common parking garage at grade.",Vacant Land,3-Storey 16 Unit Townhome Complex,16,0,"2,160,000",0,1797
15 185489 BLD,Apartment Building,"2059 WESTON RD   Toronto, Ontario, Canada",Toronto,Canada,2015-07-06,2017-01-23,2017-07-06,Closed,"Permit to construct new 3-Storey Residential Townhouse ""Block B"" with 16 dwelling units & 2 balconies per unit plus common parking garage at grade.",Vacant Land,3-Storey 16 Unit Townhome Complex,16,0,"2,160,000",0,1797
15 185506 BLD,Apartment Building,"2059 WESTON RD   Toronto, Ontario, Canada",Toronto,Canada,2015-07-06,2017-01-23,2017-07-06,Closed,"Permit to construct new 3-Storey Residential Townhouse ""Block C"" with 16 dwelling units & 2 balconies per unit plus common parking garage at grade.",Vacant Land,3-Storey 16 Unit Townhome Complex,16,0,"2,160,000",0,1797
16 132033 BLD,SFD - Detached,"211 LONSMOUNT DR   Toronto, Ontario, Canada",Toronto,Canada,2016-03-24,2016-04-19,2018-11-02,Closed,Proposal to demolish existing dwelling and construct new 2 storey detached single family dwelling with integral garage and basement finishing.,Sfd,Sfd,1,0,"2,100,000",0,294
07 132353 BLD,Townhouses,"651 WARDEN AVE   Toronto, Ontario, Canada",Toronto,Canada,2007-03-30,2009-09-22,2016-12-13,Closed,to construct stacked townhouses Block A (12 units),Vacant,Townhouse,1,0,"2,050,000",0,1576
09 103922 BLD,SFD - Detached,"70 ARDWOLD GT   Toronto, Ontario, Canada",Toronto,Canada,2009-01-21,2009-02-09,2014-06-24,Closed,"?.,mnbvcxProposal to construct a new 2 sty SFD.  See Demo 09 103863, PPR's 08 105350 & 08 119916, COA A0626/07TEY, and OMB A0626/07TEY.
****ROLLED PLANS****",Vacant,Sfd,1,0,"2,000,000",0,710
11 304530 BLD,SFD - Detached,"171 SHELBORNE AVE   Toronto, Ontario, Canada",Toronto,Canada,2011-11-03,2011-12-16,2014-07-28,Closed,Three storey dwelling with finished basement and attached garage,Sfd,Sfd,1,0,"2,000,000",0,630.7
11 315173 BLD,SFD - Detached,"1 BRIDLE HEATH GT   Toronto, Ontario, Canada",Toronto,Canada,2011-11-24,2012-01-23,2014-12-22,Closed,Two storey dwelling with integral four car garage and finished basement.,Sfd,Sfd,1,0,"2,000,000",0,1021.26
07 132473 BLD,Townhouses,"651 WARDEN AVE   Toronto, Ontario, Canada",Toronto,Canada,2007-03-30,2010-06-16,2015-01-30,Closed,to construct stacked townhouses Block D (12 units),Vacant,Townhouse,12,0,"2,000,000",0,1561
08 173856 B01,Townhouses,"2230 GERRARD ST E Toronto, Ontario, Canada",Toronto,Canada,2008-06-23,2009-05-13,2015-05-29,Closed,"(LEAD FILE FOR STACKED TOWNHOUSE UNITS) - BUILDING A NORTH (UNITS 1-10) - Proposal to construct a total of 120 stacked townhouse dwelling units.  See seperate file for 12 freehold townhouse units (BLD 08 173874).
DRAWINGS FOR ENTIRE DEVELOPMENT (BUILDINGS A-F & FREEHOLD UNITS) UNDER LEAD THIS FILE",Vacant,Stacked Townhouses,10,0,"2,000,000",0,1100.9
08 173856 B02,Townhouses,"2230 GERRARD ST E Toronto, Ontario, Canada",Toronto,Canada,2008-06-23,2009-05-13,2015-05-29,Closed,"(LEAD FILE FOR STACKED TOWNHOUSE UNITS) - BUILDING A SOUTH (UNITS 11-20) - Proposal to construct a total of 120 stacked townhouse dwelling units.  See seperate file for 12 freehold townhouse units (BLD 08 173874).
DRAWINGS FOR ENTIRE DEVELOPMENT (BUILDINGS A-F & FREEHOLD UNITS) UNDER LEAD THIS FILE",Vacant,Stacked Townhouses,10,0,"2,000,000",0,1105.17
08 173856 B03,Townhouses,"2230 GERRARD ST E Toronto, Ontario, Canada",Toronto,Canada,2008-06-23,2009-05-13,2015-06-01,Closed,"(LEAD FILE FOR STACKED TOWNHOUSE UNITS) - BUILDING B SOUTH (UNITS 21-30) - Proposal to construct a total of 120 stacked townhouse dwelling units.  See seperate file for 12 freehold townhouse units (BLD 08 173874).
DRAWINGS FOR ENTIRE DEVELOPMENT (BUILDINGS A-F & FREEHOLD UNITS) UNDER LEAD THIS FILE",Vacant,Stacked Townhouses,10,0,"2,000,000",0,1105.17
08 173856 B04,Townhouses,"2230 GERRARD ST E Toronto, Ontario, Canada",Toronto,Canada,2008-06-23,2009-05-13,2015-06-01,Closed,"(LEAD FILE FOR STACKED TOWNHOUSE UNITS) - BUILDING B NORTH (UNITS 31-40) - Proposal to construct a total of 120 stacked townhouse dwelling units.  See seperate file for 12 freehold townhouse units (BLD 08 173874).
DRAWINGS FOR ENTIRE DEVELOPMENT (BUILDINGS A-F & FREEHOLD UNITS) UNDER LEAD THIS FILE",Vacant,Stacked Townhouses,10,0,"2,000,000",0,1100.9
12 145503 BLD,SFD - Detached,"24 FARRINGTON DR   Toronto, Ontario, Canada",Toronto,Canada,2012-03-29,2012-05-29,2015-10-15,Closed,Two storey dwelling with attached garage at grade,Sfd,Sfd,1,0,"2,000,000",0,553
12 184372 BLD,SFD - Detached,"330 RIVERVIEW DR   Toronto, Ontario, Canada",Toronto,Canada,2012-05-31,2012-06-28,2015-02-19,Closed,Two storey dwelling with attached garage at grade,Sfd,Sfd,1,0,"2,000,000",0,1057.3
07 132494 BLD,Townhouses,"651 WARDEN AVE   Toronto, Ontario, Canada",Toronto,Canada,2007-03-30,2010-06-16,2016-09-21,Closed,to construct stacked townhouses Block E (12 units),Vacant,Townhouse,12,0,"2,000,000",0,1578
08 173856 B05,Townhouses,"2230 GERRARD ST E Toronto, Ontario, Canada",Toronto,Canada,2008-06-23,2009-05-13,2016-07-27,Closed,"(LEAD FILE FOR STACKED TOWNHOUSE UNITS) - BUILDING C NORTH (UNITS 41-50) - Proposal to construct a total of 120 stacked townhouse dwelling units.  See seperate file for 12 freehold townhouse units (BLD 08 173874).
DRAWINGS FOR ENTIRE DEVELOPMENT (BUILDINGS A-F & FREEHOLD UNITS) UNDER LEAD THIS FILE",Vacant,Stacked Townhouses,10,0,"2,000,000",0,1102.94
08 173856 B07,Townhouses,"2230 GERRARD ST E Toronto, Ontario, Canada",Toronto,Canada,2008-06-23,2009-05-13,2016-07-27,Closed,"(LEAD FILE FOR STACKED TOWNHOUSE UNITS) - BUILDING D SOUTH (UNITS 61-70) - Proposal to construct a total of 120 stacked townhouse dwelling units.  See seperate file for 12 freehold townhouse units (BLD 08 173874).
DRAWINGS FOR ENTIRE DEVELOPMENT (BUILDINGS A-F & FREEHOLD UNITS) UNDER LEAD THIS FILE",Vacant,Stacked Townhouses,10,0,"2,000,000",0,1100.9
08 173856 B08,Townhouses,"2230 GERRARD ST E Toronto, Ontario, Canada",Toronto,Canada,2008-06-23,2009-05-13,2016-10-18,Closed,"(LEAD FILE FOR STACKED TOWNHOUSE UNITS) - BUILDING D NORTH (UNITS 71-80) - Proposal to construct a total of 120 stacked townhouse dwelling units.  See seperate file for 12 freehold townhouse units (BLD 08 173874).
DRAWINGS FOR ENTIRE DEVELOPMENT (BUILDINGS A-F & FREEHOLD UNITS) UNDER LEAD THIS FILE",Vacant,Stacked Townhouses,10,0,"2,000,000",0,1102.94
08 173856 B09,Townhouses,"2230 GERRARD ST E Toronto, Ontario, Canada",Toronto,Canada,2008-06-23,2009-05-13,2016-09-21,Closed,"(LEAD FILE FOR STACKED TOWNHOUSE UNITS) - BUILDING E NORTH (UNITS 81-90) - Proposal to construct a total of 120 stacked townhouse dwelling units.  See seperate file for 12 freehold townhouse units (BLD 08 173874).
DRAWINGS FOR ENTIRE DEVELOPMENT (BUILDINGS A-F & FREEHOLD UNITS) UNDER LEAD THIS FILE",Vacant,Stacked Townhouses,10,0,"2,000,000",0,1100.9
08 173856 B10,Townhouses,"2230 GERRARD ST E Toronto, Ontario, Canada",Toronto,Canada,2008-06-23,2009-05-13,2016-09-21,Closed,"(LEAD FILE FOR STACKED TOWNHOUSE UNITS) - BUILDING E SOUTH (UNITS 91-100) - Proposal to construct a total of 120 stacked townhouse dwelling units.  See seperate file for 12 freehold townhouse units (BLD 08 173874).
DRAWINGS FOR ENTIRE DEVELOPMENT (BUILDINGS A-F & FREEHOLD UNITS) UNDER LEAD THIS FILE",Vacant,Stacked Townhouses,10,0,"2,000,000",0,1105.17
08 173856 B11,Townhouses,"2230 GERRARD ST E Toronto, Ontario, Canada",Toronto,Canada,2008-06-23,2009-05-13,2016-09-20,Closed,"(LEAD FILE FOR STACKED TOWNHOUSE UNITS) - BUILDING F SOUTH (UNITS 101-110) - Proposal to construct a total of 120 stacked townhouse dwelling units.  See seperate file for 12 freehold townhouse units (BLD 08 173874).
DRAWINGS FOR ENTIRE DEVELOPMENT (BUILDINGS A-F & FREEHOLD UNITS) UNDER LEAD THIS FILE",Vacant,Stacked Townhouses,10,0,"2,000,000",0,1105.17
08 173856 B12,Townhouses,"2230 GERRARD ST E Toronto, Ontario, Canada",Toronto,Canada,2008-06-23,2009-05-13,2016-10-17,Closed,"(LEAD FILE FOR STACKED TOWNHOUSE UNITS) - BUILDING F NORTH (UNITS 111-120) - Proposal to construct a total of 120 stacked townhouse dwelling units.  See seperate file for 12 freehold townhouse units (BLD 08 173874).
DRAWINGS FOR ENTIRE DEVELOPMENT (BUILDINGS A-F & FREEHOLD UNITS) UNDER LEAD THIS FILE",Vacant,Stacked Townhouses,10,0,"2,000,000",0,1100.9
11 329499 BLD,SFD - Detached,"37 GLENAYR RD   Toronto, Ontario, Canada",Toronto,Canada,2011-12-21,2012-04-17,2016-06-07,Closed,"Proposal to construct a new 3 storey SFD-detached dwelling.  See also 11 329491 DEM, 10 302631 ZZC, and OMB decision PL110228.",Vacant,Sfd-Detached,1,0,"2,000,000",0,581.759
16 115582 B06,Townhouses,"6 BAYTREE CRES   Toronto, Ontario, Canada",Toronto,Canada,2016-02-11,,2016-02-11,Cancelled,Demolish existing sfd-detached; Construct five (5) four storey freehold townhouses. ,Sfd-Detached,Sfd-Townhouse,1,0,"2,000,000",0,378.79
14 268244 BLD,Townhouses,"250 ROYAL YORK RD   Toronto, Ontario, Canada",Toronto,Canada,2014-12-29,2016-08-30,2017-12-11,Closed,Proposal to construct 24 units stacked townhouse block with 3 storey above and 1 storey below grade (Block 4).,Vacant,Stacked Townhouse,24,0,"2,000,000",0,1980.26
14 268259 BLD,SFD - Detached,"377 WALMER RD   Toronto, Ontario, Canada",Toronto,Canada,2014-12-29,2015-06-05,2017-05-09,Closed,Proposal to construct a new 3 storey SFD-detached dwelling to replace previous dwelling that was demolished due to unsafe conditions.  Application includes new reinforced foundation walls.  See also 14 138389 MV.,Vacant,Sfd-Detached,1,0,"2,000,000",0,273.46
15 120471 BLD,SFD - Detached,"36 STRATHEDEN RD   Toronto, Ontario, Canada",Toronto,Canada,2015-02-23,2015-03-05,2017-01-25,Closed,Two storey dwelling with attached garage at grade and finished basement.,Sfd,Sfd,1,0,"2,000,000",0,547.64
13 280699 BLD,Apartment Building,"120 RAGLAN AVE   Toronto, Ontario, Canada",Toronto,Canada,2013-12-20,2014-05-26,2018-04-24,Closed,"To construct a new 3-storey residential apartment building consisting of 16 stacked residential units (1,214.93m2), above a northerly portion of the existing below grade parking facility serving the existing 9-storey residential apartment building.
",Surface Landscaping And Below Grade Parking ,New Three Storey Apartment Building,16,0,"2,000,000",0,1214.93
