PERMIT_NUM,STRUCTURE_TYPE,ADDRESS,City,Country,APPLICATION_DATE,ISSUED_DATE,COMPLETED_DATE,STATUS,DESCRIPTION,CURRENT_USE,PROPOSED_USE,DWELLING_UNITS_CREATED,DWELLING_UNITS_LOST,EST_CONST_COST,ASSEMBLY,RESIDENTIAL
16 210216 BLD,SFD - Detached,"35 STARFIRE DR   Toronto, Ontario, Canada",Toronto,Canada,2016-08-19,,2017-06-06,Cancelled,"Proposed 2 storey SFD with integrated 2 car garage, unfinished basement on an existing vacant lot.",Vacant,Sfd - Detached,1,0,"300,000",0,285.9
16 245525 BLD,SFD - Detached,"44 GAGE AVE   Toronto, Ontario, Canada",Toronto,Canada,2016-11-01,2016-12-16,2017-10-30,Closed,Reconstruction of over 50% of dwelling due to fire damage (existing foundation walls to remain),Sfd,Sfd,1,0,"300,000",0,145
17 118088 BLD,SFD - Detached,"15 LANARK AVE   Toronto, Ontario, Canada",Toronto,Canada,2017-02-16,2017-03-22,2017-12-01,Closed,Proposal to demolish existing 1 storey dwelling to be replaced by a two storey dwelling with finished basement.,Single Family Dwelling,Single Family Dwelling,1,0,"300,000",0,234.3
00 119016 000,SFD - Detached,"548 BROOKDALE AVE   Toronto, Ontario, Canada",Toronto,Canada,2000-01-05,2000-03-15,2018-09-14,Closed,Applicant proposed to demolish the existing houseand construct a new 2storey house. ,,,,,"300,000",0,285.4
07 216255 BLD,SFD - Detached,"10 TODD BROOK DR   Toronto, Ontario, Canada",Toronto,Canada,2007-05-15,2007-06-21,2018-01-13,Closed,new two storey dwelling with attached garages as approved by c/o/a 179/07,Sfd,Sfd,1,0,"300,000",0,332
09 187293 BLD,SFD - Detached,"185 BETA ST   Toronto, Ontario, Canada",Toronto,Canada,2009-11-12,2010-01-12,2018-08-23,Closed,To construct a new two storey single family detached dwelling on vacant land (plan B).,Vacant,Sfd Detached,1,0,"300,000",0,250.16
09 187296 BLD,SFD - Detached,"185 BETA ST   Toronto, Ontario, Canada",Toronto,Canada,2009-11-12,2010-01-12,2018-08-23,Closed,To construct a new two storey single family detached dwelling on vacant land (plan A).,Vacant,Sfd Detached,1,0,"300,000",0,252.8
11 111829 BLD,SFD - Detached,"8 BRIEF RD   Toronto, Ontario, Canada",Toronto,Canada,2011-01-21,2011-02-11,2018-03-22,Closed,Proposal to construct new two storey single family detached dwelling.,Vacant,Sfd-Detached,1,0,"300,000",0,316.64
11 283977 BLD,SFD - Detached,"21 MCARTHUR ST   Toronto, Ontario, Canada",Toronto,Canada,2011-09-29,2012-01-04,2018-09-28,Closed,Proposed new two storey detached dwelling with attached garage.,Sfd - Detached,Sfd - Detached,1,0,"300,000",0,350.24
11 300173 BLD,SFD - Detached,"38 PRESTON RD   Toronto, Ontario, Canada",Toronto,Canada,2011-10-27,2014-06-04,2018-01-08,Closed,Demolish existing 1 storey sfd and construct new detached 2 storey sfd,Vacant,Duplex,1,0,"300,000",0,247
